Price,Close,High,Low,Open,Volume,20EMA,50EMA,100EMA,200EMA
Ticker,APLE,APLE,APLE,APLE,APLE,,,,
Date,,,,,,,,,
2015-11-16,12.129538536071777,12.166220281469695,11.946128642990534,11.946128642990534,1498800,12.066207107746928,11.745415165067024,11.451060955772402,11.180544030639217
2015-11-17,11.976698875427246,12.221245835310246,11.976698875427246,12.178450263092206,1798300,12.057682514192674,11.754485114492915,11.461469627448734,11.188465969393327
2015-11-18,11.952244758605957,12.034779584234222,11.927790643285729,11.958358578959013,1463600,12.047640823184416,11.762240394654212,11.471187946877588,11.196065758340717
2015-11-19,11.927789688110352,11.97669908092615,11.897220588793036,11.915562048383425,1013800,12.03622642936784,11.768732523809355,11.48022956551586,11.203346593462804
2015-11-20,11.793291091918945,12.062292213668336,11.738267870176546,11.970587232795038,1277700,12.013089730563184,11.769695604911693,11.486428803662454,11.209216687974806
2015-11-23,11.952244758605957,11.988927680724297,11.74682599198485,11.842199490526934,885900,12.007294971329163,11.776854395252645,11.495652881978167,11.216610002110441
2015-11-24,11.94001579284668,11.98281136029728,11.854423491853721,11.897219059304321,821800,12.000887430521306,11.783252881432803,11.504452147539919,11.223808069679956
2015-11-25,11.915436744689941,12.204259333214877,11.872420913742012,12.204259333214877,931200,11.99274926996594,11.788436562344849,11.512590456394374,11.23068994704324
2015-11-27,11.933870315551758,12.044483100839525,11.903145062791051,11.946160885493345,613100,11.987141750497921,11.794139846784336,11.520932631823232,11.23768676663039
2015-11-30,11.98302936553955,12.136657947149033,11.890852450992474,11.970738797708458,14059800,11.9867500947876,11.801547278892384,11.530083062193853,11.245103110898143
2015-12-01,12.032194137573242,12.10593639497641,11.970742451752837,12.00146888070975,1576000,11.991078098862424,11.810592253742614,11.540025855765721,11.252934862407349
2015-12-02,11.890857696533203,12.087502180206325,11.74337433377836,12.081356893579843,1650800,11.981533298640592,11.813739918165775,11.546973020929434,11.259282353294173
2015-12-03,11.700358390808105,11.921582846838742,11.614325550930046,11.90929227369994,1680000,11.95475473598988,11.80929358375959,11.550010354986437,11.263671169587845
2015-12-04,12.431632041931152,12.450067904799242,11.718795087011008,11.743376237501797,4096400,12.000171622270003,11.833699013491808,11.56746821017346,11.275292670805191
2015-12-07,11.98302936553955,12.382463443305591,11.95230411805488,12.382463443305591,1877200,11.998539026390912,11.839555105728975,11.575697143943087,11.282334826971702
2015-12-08,11.915436744689941,12.004541635706932,11.853986227389179,11.976888434084193,1262400,11.990624523371771,11.842530856276465,11.58242466078956,11.288634348541038
2015-12-09,11.798681259155273,11.915438193902048,11.76795482467431,11.872422357722328,1315100,11.97234421249401,11.840811264232498,11.58670696966809,11.293709442178992
2015-12-10,11.890857696533203,11.976889365116799,11.774099594817194,11.798680741323123,1068800,11.964583591926313,11.84277386942076,11.592729756338686,11.299651215854158
2015-12-11,11.792530059814453,11.933868071283072,11.688062579143507,11.853981725872604,1172900,11.948197541248994,11.840803523946004,11.596686197991671,11.304555482958243
2015-12-14,12.370174407958984,12.474641903279155,11.804821110713329,11.8662727853887,3703200,11.988385814268995,11.861563166456317,11.612002796208845,11.315158656341335
2015-12-15,12.597542762756348,12.59754276275635,12.327156150881887,12.382462529949231,3163900,12.04640076174398,11.890425111409261,11.631518439110776,11.327918697201186
2015-12-16,12.60368824005127,12.732735678464381,12.468495518081392,12.58525238938097,3656000,12.099475759678008,11.918396214493262,11.650769326258112,11.340612921508153
2015-12-17,12.708158493041992,12.751174315245247,12.542239317035216,12.603690993936976,1528100,12.15744554380791,11.949367284240271,11.671707725600367,11.354220340130382
